,booking_check_in,booking_check_out,listing_id,unit_id,property_id,property_type,property_design,area_id,usd
119,2018-10-20,2018-10-21,27814447,UN1730,PR0314,4.0,1.0,A0002,0.0
120,2018-12-31,2019-01-02,27814447,UN1730,PR0314,4.0,1.0,A0002,16.83
121,2019-01-12,2019-01-13,27814447,UN1730,PR0314,4.0,1.0,A0002,13.08
122,2018-10-01,2018-10-03,27814447,UN1730,PR0314,4.0,1.0,A0002,14.31
123,2018-11-16,2018-11-19,27814447,UN1730,PR0314,4.0,1.0,A0002,12.61
124,2018-11-06,2018-11-07,27814447,UN1730,PR0314,4.0,1.0,A0002,15.54
125,2018-11-28,2018-11-30,27814447,UN1730,PR0314,4.0,1.0,A0002,0.0
126,2019-04-30,2019-05-01,27814447,UN1730,PR0314,4.0,1.0,A0002,13.64
127,2018-11-19,2018-11-20,27814447,UN1730,PR0314,4.0,1.0,A0002,12.63
128,2019-01-30,2019-02-01,27814447,UN1730,PR0314,4.0,1.0,A0002,15.79
129,2019-02-28,2019-03-01,27814447,UN1730,PR0314,4.0,1.0,A0002,15.85
130,2019-10-02,2019-10-05,27814447,UN1730,PR0314,4.0,1.0,A0002,15.72
131,2019-03-10,2019-03-21,27814447,UN1730,PR0314,4.0,1.0,A0002,15.58
132,2019-07-20,2019-07-22,27814447,UN1730,PR0314,4.0,1.0,A0002,15.99
133,2018-10-18,2018-11-01,27814447,UN1730,PR0314,4.0,1.0,A0002,12.13
134,2018-11-22,2018-11-29,27814447,UN1730,PR0314,4.0,1.0,A0002,12.67
135,2018-11-22,2018-11-29,27814447,UN1730,PR0314,4.0,1.0,A0002,12.67
136,2019-02-26,2019-02-28,27814447,UN1730,PR0314,4.0,1.0,A0002,15.92
137,2018-11-08,2018-11-12,27814447,UN1730,PR0314,4.0,1.0,A0002,12.68
138,2018-10-12,2018-10-14,27814447,UN1730,PR0314,4.0,1.0,A0002,12.12
139,2019-08-10,2019-08-13,27814447,UN1730,PR0314,4.0,1.0,A0002,15.72
140,2019-12-31,2020-01-03,27814447,UN1730,PR0314,4.0,1.0,A0002,16.09
141,2019-06-07,2019-06-08,27814447,UN1730,PR0314,4.0,1.0,A0002,15.66
142,2019-09-27,2019-10-02,27814447,UN1730,PR0314,4.0,1.0,A0002,16.29
143,2019-10-27,2019-10-29,27814447,UN1730,PR0314,4.0,1.0,A0002,22.81
144,2019-10-20,2019-10-21,27814447,UN1730,PR0314,4.0,1.0,A0002,15.1
145,2019-10-06,2019-10-09,27814447,UN1730,PR0314,4.0,1.0,A0002,16.48
146,2019-08-15,2019-08-16,27814447,UN1730,PR0314,4.0,1.0,A0002,15.63
147,2019-08-24,2019-09-01,27814447,UN1730,PR0314,4.0,1.0,A0002,17.2
148,2019-09-12,2019-09-15,27814447,UN1730,PR0314,4.0,1.0,A0002,15.98
149,2019-05-10,2019-05-12,27814447,UN1730,PR0314,4.0,1.0,A0002,15.49
150,2019-05-04,2019-05-08,27814447,UN1730,PR0314,4.0,1.0,A0002,13.61
151,2019-05-25,2019-05-26,27814447,UN1730,PR0314,4.0,1.0,A0002,15.5
152,2019-09-15,2019-09-17,27814447,UN1730,PR0314,4.0,1.0,A0002,16.67
153,2018-12-09,2018-12-16,27814447,UN1730,PR0314,4.0,1.0,A0002,15.59
154,2019-09-22,2019-09-25,27814447,UN1730,PR0314,4.0,1.0,A0002,16.56
155,2019-06-20,2019-06-21,27814447,UN1730,PR0314,4.0,1.0,A0002,15.73
156,2019-07-11,2019-07-13,27814447,UN1730,PR0314,4.0,1.0,A0002,14.83
157,2019-03-26,2019-03-29,27814447,UN1730,PR0314,4.0,1.0,A0002,14.38
158,2019-04-15,2019-04-17,27814447,UN1730,PR0314,4.0,1.0,A0002,15.87
159,2019-02-14,2019-02-16,27814447,UN1730,PR0314,4.0,1.0,A0002,15.83
160,2019-02-16,2019-02-19,27814447,UN1730,PR0314,4.0,1.0,A0002,15.78
161,2019-02-02,2019-02-03,27814447,UN1730,PR0314,4.0,1.0,A0002,15.99
162,2019-04-08,2019-04-10,27814447,UN1730,PR0314,4.0,1.0,A0002,15.75
163,2018-12-31,2019-01-01,27708043,UN1724,PR0314,4.0,1.0,A0002,15.48
164,2019-04-14,2019-04-16,27708043,UN1724,PR0314,4.0,1.0,A0002,15.83
165,2018-10-08,2018-10-09,27708043,UN1724,PR0314,4.0,1.0,A0002,0.0
166,2018-09-11,2018-09-12,27708043,UN1724,PR0314,4.0,1.0,A0002,16.31
167,2018-08-14,2018-08-17,27708043,UN1724,PR0314,4.0,1.0,A0002,16.54
168,2018-08-29,2018-09-01,27708043,UN1724,PR0314,4.0,1.0,A0002,15.22
169,2018-08-18,2018-08-22,27708043,UN1724,PR0314,4.0,1.0,A0002,16.24
170,2018-11-25,2018-11-27,27708043,UN1724,PR0314,4.0,1.0,A0002,12.68
171,2018-09-16,2018-09-17,27708043,UN1724,PR0314,4.0,1.0,A0002,16.38
172,2018-10-11,2018-10-13,27708043,UN1724,PR0314,4.0,1.0,A0002,12.1
173,2019-05-03,2019-05-09,27708043,UN1724,PR0314,4.0,1.0,A0002,13.61
174,2018-08-25,2018-08-28,27708043,UN1724,PR0314,4.0,1.0,A0002,15.25
175,2019-03-19,2019-03-25,27708043,UN1724,PR0314,4.0,1.0,A0002,15.74
176,2018-10-27,2018-10-28,27708043,UN1724,PR0314,4.0,1.0,A0002,12.12
177,2019-03-30,2019-04-01,27708043,UN1724,PR0314,4.0,1.0,A0002,14.3
178,2019-09-29,2019-10-06,27708043,UN1724,PR0314,4.0,1.0,A0002,15.95
179,2019-10-10,2019-10-15,27708043,UN1724,PR0314,4.0,1.0,A0002,16.45
180,2019-09-15,2019-09-18,27708043,UN1724,PR0314,4.0,1.0,A0002,16.67
181,2019-07-25,2019-07-26,27708043,UN1724,PR0314,4.0,1.0,A0002,15.96
182,2019-12-26,2019-12-29,27708043,UN1724,PR0314,4.0,1.0,A0002,15.64
183,2019-09-19,2019-09-21,27708043,UN1724,PR0314,4.0,1.0,A0002,15.87
184,2019-03-29,2019-03-30,27708043,UN1724,PR0314,4.0,1.0,A0002,14.3
185,2018-12-08,2018-12-13,4002901,UN1904,PR0314,4.0,1.0,A0002,0.0
186,2018-12-08,2018-12-13,4002901,UN1904,PR0314,4.0,1.0,A0002,0.0
187,2018-12-22,2018-12-25,4002901,UN1904,PR0314,4.0,1.0,A0002,15.72
188,2018-12-28,2018-12-31,4002901,UN1904,PR0314,4.0,1.0,A0002,38.55
189,2019-01-02,2019-01-05,4002901,UN1904,PR0314,4.0,1.0,A0002,31.8
190,2018-12-05,2018-12-07,4002901,UN1904,PR0314,4.0,1.0,A0002,0.0
191,2019-03-10,2019-03-12,4002901,UN1904,PR0314,4.0,1.0,A0002,19.9
192,2018-12-27,2018-12-29,4002901,UN1904,PR0314,4.0,1.0,A0002,15.76
193,2018-12-14,2018-12-15,4002901,UN1904,PR0314,4.0,1.0,A0002,15.73
194,2018-12-07,2018-12-10,4002901,UN1904,PR0314,4.0,1.0,A0002,15.89
195,2019-01-08,2019-01-09,4002901,UN1904,PR0314,4.0,1.0,A0002,16.26
196,2019-06-24,2019-06-25,4002901,UN1904,PR0314,4.0,1.0,A0002,21.2
197,2019-06-22,2019-06-25,4002901,UN1904,PR0314,4.0,1.0,A0002,21.23
198,2019-06-08,2019-06-09,4002901,UN1904,PR0314,4.0,1.0,A0002,21.06
199,2019-06-08,2019-06-11,4002901,UN1904,PR0314,4.0,1.0,A0002,21.06
200,2019-05-10,2019-05-13,4002901,UN1904,PR0314,4.0,1.0,A0002,15.97
201,2019-08-18,2019-08-20,4002901,UN1904,PR0314,4.0,1.0,A0002,18.98
202,2019-06-09,2019-06-11,4002901,UN1904,PR0314,4.0,1.0,A0002,21.06
203,2019-06-16,2019-06-18,4002901,UN1904,PR0314,4.0,1.0,A0002,19.56
204,2019-06-12,2019-06-15,4002901,UN1904,PR0314,4.0,1.0,A0002,18.96
205,2019-06-15,2019-06-16,4002901,UN1904,PR0314,4.0,1.0,A0002,19.56
206,2019-06-15,2019-06-17,4002901,UN1904,PR0314,4.0,1.0,A0002,18.86
207,2019-06-21,2019-06-24,4002901,UN1904,PR0314,4.0,1.0,A0002,19.82
208,2019-06-19,2019-06-20,4002901,UN1904,PR0314,4.0,1.0,A0002,18.92
209,2019-05-31,2019-06-02,4002901,UN1904,PR0314,4.0,1.0,A0002,18.49
210,2019-04-28,2019-04-30,400290103,UN1730,PR0314,4.0,1.0,A0002,16.2
211,2019-04-14,2019-04-15,400290103,UN1730,PR0314,4.0,1.0,A0002,16.32
212,2019-01-25,2019-01-26,400290103,UN1730,PR0314,4.0,1.0,A0002,21.3
213,2019-08-25,2019-08-28,400290103,UN1730,PR0314,4.0,1.0,A0002,16.18
214,2019-04-25,2019-04-28,400290103,UN1730,PR0314,4.0,1.0,A0002,16.16
215,2019-08-21,2019-08-22,400290103,UN1730,PR0314,4.0,1.0,A0002,18.96
216,2019-04-11,2019-04-12,400290103,UN1730,PR0314,4.0,1.0,A0002,17.64
217,2019-08-17,2019-08-19,400290103,UN1730,PR0314,4.0,1.0,A0002,18.98
218,2019-06-24,2019-06-25,400290103,UN1730,PR0314,4.0,1.0,A0002,19.08
219,2019-02-04,2019-02-06,400290103,UN1730,PR0314,4.0,1.0,A0002,25.33
220,2019-08-28,2019-09-07,400290103,UN1730,PR0314,4.0,1.0,A0002,18.11
221,2019-08-29,2019-08-31,400290103,UN1730,PR0314,4.0,1.0,A0002,19.02
222,2019-08-29,2019-08-31,400290103,UN1730,PR0314,4.0,1.0,A0002,19.02
223,2019-09-07,2019-09-09,400290103,UN1730,PR0314,4.0,1.0,A0002,17.75
224,2019-10-21,2019-10-23,400290103,UN1730,PR0314,4.0,1.0,A0002,19.91
225,2019-09-26,2019-09-29,400290103,UN1730,PR0314,4.0,1.0,A0002,20.29
226,2019-09-10,2019-09-12,400290103,UN1730,PR0314,4.0,1.0,A0002,20.47
227,2019-12-15,2019-12-17,400290103,UN1730,PR0314,4.0,1.0,A0002,17.35
228,2019-08-05,2019-08-10,400290103,UN1730,PR0314,4.0,1.0,A0002,16.07
229,2019-08-20,2019-08-21,400290103,UN1730,PR0314,4.0,1.0,A0002,16.13
230,2019-07-19,2019-07-20,400290103,UN1730,PR0314,4.0,1.0,A0002,17.92
231,2019-07-02,2019-07-05,400290103,UN1730,PR0314,4.0,1.0,A0002,19.1
232,2019-12-20,2019-12-22,400290103,UN1730,PR0314,4.0,1.0,A0002,17.47
233,2019-07-15,2019-07-19,400290103,UN1730,PR0314,4.0,1.0,A0002,19.37
234,2019-07-01,2019-07-02,400290103,UN1730,PR0314,4.0,1.0,A0002,19.13
235,2019-07-01,2019-07-06,400290103,UN1730,PR0314,4.0,1.0,A0002,21.26
