,checkin_day,checkin_month,checkin_year,checkout_day,checkout_month,checkout_year,listing_id,unit_id,property_id,area_id,type_1.0,type_2.0,type_3.0,type_4.0,type_5.0,design_0.0,design_1.0,design_2.0,design_3.0,design_4.0,design_5.0,usd
130,2,10,2019,5,10,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.72
131,10,3,2019,21,3,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.58
132,20,7,2019,22,7,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.99
133,18,10,2018,1,11,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,12.13
134,22,11,2018,29,11,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,12.67
135,22,11,2018,29,11,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,12.67
136,26,2,2019,28,2,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.92
137,8,11,2018,12,11,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,12.68
138,12,10,2018,14,10,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,12.12
139,10,8,2019,13,8,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.72
140,31,12,2019,3,1,2020,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.09
141,7,6,2019,8,6,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.66
142,27,9,2019,2,10,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.29
143,27,10,2019,29,10,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,22.81
144,20,10,2019,21,10,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.1
145,6,10,2019,9,10,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.48
146,15,8,2019,16,8,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.63
147,24,8,2019,1,9,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,17.2
148,12,9,2019,15,9,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.98
149,10,5,2019,12,5,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.49
150,4,5,2019,8,5,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,13.61
151,25,5,2019,26,5,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.5
152,15,9,2019,17,9,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.67
153,9,12,2018,16,12,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.59
154,22,9,2019,25,9,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.56
155,20,6,2019,21,6,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.73
156,11,7,2019,13,7,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,14.83
157,26,3,2019,29,3,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,14.38
158,15,4,2019,17,4,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.87
159,14,2,2019,16,2,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.83
160,16,2,2019,19,2,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.78
161,2,2,2019,3,2,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.99
162,8,4,2019,10,4,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.75
163,31,12,2018,1,1,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.48
164,14,4,2019,16,4,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.83
165,8,10,2018,9,10,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0
166,11,9,2018,12,9,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.31
167,14,8,2018,17,8,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.54
168,29,8,2018,1,9,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.22
169,18,8,2018,22,8,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.24
170,25,11,2018,27,11,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,12.68
171,16,9,2018,17,9,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.38
172,11,10,2018,13,10,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,12.1
173,3,5,2019,9,5,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,13.61
174,25,8,2018,28,8,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.25
175,19,3,2019,25,3,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.74
176,27,10,2018,28,10,2018,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,12.12
177,30,3,2019,1,4,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,14.3
178,29,9,2019,6,10,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.95
179,10,10,2019,15,10,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.45
180,15,9,2019,18,9,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.67
181,25,7,2019,26,7,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.96
182,26,12,2019,29,12,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.64
183,19,9,2019,21,9,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,15.87
184,29,3,2019,30,3,2019,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,14.3
185,8,12,2018,13,12,2018,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0
186,8,12,2018,13,12,2018,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0
187,22,12,2018,25,12,2018,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,15.72
188,28,12,2018,31,12,2018,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,38.55
189,2,1,2019,5,1,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,31.8
190,5,12,2018,7,12,2018,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0
191,10,3,2019,12,3,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,19.9
192,27,12,2018,29,12,2018,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,15.76
193,14,12,2018,15,12,2018,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,15.73
194,7,12,2018,10,12,2018,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,15.89
195,8,1,2019,9,1,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,16.26
196,24,6,2019,25,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,21.2
197,22,6,2019,25,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,21.23
198,8,6,2019,9,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,21.06
199,8,6,2019,11,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,21.06
200,10,5,2019,13,5,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,15.97
201,18,8,2019,20,8,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,18.98
202,9,6,2019,11,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,21.06
203,16,6,2019,18,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,19.56
204,12,6,2019,15,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,18.96
205,15,6,2019,16,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,19.56
206,15,6,2019,17,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,18.86
207,21,6,2019,24,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,19.82
208,19,6,2019,20,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,18.92
209,31,5,2019,2,6,2019,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0,18.49
210,28,4,2019,30,4,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.2
211,14,4,2019,15,4,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.32
212,25,1,2019,26,1,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,21.3
213,25,8,2019,28,8,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.18
214,25,4,2019,28,4,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.16
215,21,8,2019,22,8,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,18.96
216,11,4,2019,12,4,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,17.64
217,17,8,2019,19,8,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,18.98
218,24,6,2019,25,6,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,19.08
